article_id,affiliation,citedby,pub_title,pub_year,citations,pub_author,eprint,journal_id
1,"Post-doc at School of Public Health - University of Sao Paulo",146,"Morphometrical diagnosis of the malaria vectors Anopheles cruzii, An. homunculus and An. bellator",2012,37,"Camila Lorenz and Tatiani Cristina Marques and Maria Anice Mureb Sallum and Lincoln Suesdek",,1
2,"University of Pennsylvania",542,"Champollion: A Robust Parallel Text Sentence Aligner.",2006,150,"Xiaoyi Ma",,NULL
3,"Research Staff, Lawrence Livermore National Laboratory",1028,"Towards more accurate molecular dynamics calculation of thermal conductivity: Case study of GaN bulk crystals",2009,106,"XW Zhou and S Aubry and RE Jones and A Greenstein and PK Schelling",,2
4,"University of Hartford",641,"Refinement, Reliability, and Validity of the Segmental Assessment of Trunk Control",1970,99,"Butler PB and Saavedra S and Sofranc M and Jarvis S and Woollacott M.",,3
5,"Debreceni Egyetem, Neurológiai Tanszék",2661,"Effect of clopidogrel added to aspirin in patients with atrial fibrillation",2009,1343,"Active Investigators",https://www.nejm.org/doi/full/10.1056/nejmoa0901301,4
6,"York MRI Facility, Centre for Vision Research, York University",1011,"The fusiform face area is not sufficient for face recognition: evidence from a patient with dense prosopagnosia and no occipital face area",2006,211,"Jennifer KE Steeves and Jody C Culham and Bradley C Duchaine and Cristiana Cavina Pratesi and Kenneth F Valyear and Igor Schindler and G Keith Humphrey and A David Milner and Melvyn A Goodale",,5
7,"Istituto Italiano di Tecnologia",2566,"Stability of metal halide perovskite solar cells",2015,584,"Tomas Leijtens and Giles E Eperon and Nakita K Noel and Severin N Habisreutinger and Annamaria Petrozza and Henry J Snaith",,6
8,"Professor Adjunto Universidade Federal de Ouro Preto",294,"Cytogenetic and molecular analyses reveal a divergence between Acromyrmex striatus (Roger, 1863) and other congeneric species: taxonomic implications",2013,32,"Maykon Passos Cristiano and Danon Clemes Cardoso and Tânia Maria Fernandes-Salomão",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0059784,7
9,"CNRS Researcher, UMR 6521, University of Brest, France",720,"Monocopper center embedded in a biomimetic cavity: From supramolecular control of copper coordination to redox regulation",2007,70,"Nicolas Le Poul and Morgan Campion and Bénédicte Douziech and Yannick Rondelez and Loic Le Clainche and Olivia Reinaud and Yves Le Mest",,8
10,"University of Texas at Rio Grande Valley-School of Medicine",600,"Methylphenidate administration to juvenile rats alters brain areas involved in cognition, motivated behaviors, appetite, and stress",2007,107,"Jason D Gray and Michael Punsoni and Nora E Tabori and Jay T Melton and Victoria Fanslow and Mary J Ward and Bojana Zupan and David Menzer and Jackson Rice and Carrie T Drake and Russell D Romeo and Wayne G Brake and Annelyn Torres-Reveron and Teresa A Milner",http://www.jneurosci.org/content/jneuro/27/27/7196.full.pdf,9
11,"Research Staff, Lawrence Livermore National Laboratory",1028,"A constrained sequential-lamination algorithm for the simulation of sub-grid microstructure in martensitic materials",2003,88,"Sylvie Aubry and Matt Fago and Michael Ortiz",,10
12,"iran university of medical sciences",116,"Knowledge, attitude, and practice of Iranian surgeons about blood-borne diseases",2009,55,"Mehrdad Moghimi and Seyed Ali Marashi and Ali Kabir and Hamid Reza Taghipour and Amir Hossein Faghihi-Kashani and Iraj Ghoddoosi and Seyed Moayed Alavian",http://www.academia.edu/download/46958962/Knowledge_Attitude_and_Practice_of_Irani20160702-14388-karqr8.pdf,11
13,"Unknown affiliation",278,"Progress in computational toxicology",2014,89,"Sean Ekins",,NULL
14,"University of Pennsylvania",542,"Bits: A method for bilingual text search over the web",1999,135,"Xiaoyi Ma and Mark Liberman",,12
15,"Post-doc at School of Public Health - University of Sao Paulo",146,"Geometric morphometrics in mosquitoes: What has been measured?",2017,19,"Camila Lorenz and Fabio Almeida and Fernanda Almeida-Lopes and Caroline Louise and Stella N Pereira and Vivian Petersen and Paloma O Vidal and Flávia Virginio and Lincoln Suesdek",,NULL
16,"University of Hartford",641,"Head stability during quiet sitting in children with cerebral palsy: effect of vision and trunk support",2010,77,"Sandra Saavedra and Marjorie Woollacott and Paul Van Donkelaar",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2821460/,13
