article_id,journal_name
6649,"[VertigO] La revue électronique en sciences de l’environnement"
9540,"[全国大会] 平成 16 年電気学会全国大会論文集"
2312,"13th Danish Conference on Pattern Recognition and Image Analysis"
3795,"13th World Congress in Mechanism and Machine Science"
3251,"14th International Heat Transfer Conference"
4921,"16th World Conference on Earthquake Engineering"
1971,"16th World Conference on Earthquake Engineering, Santiago, Chile"
5913,"17th World Conference on Nondestructive Testing, Shanghai, China, Oct"
6163,"19th Annual Conference of the European Association of Environmental and Resource Economists"
1300,"1st Historical Mortars Conference HMC08-Characterization, Diagnosis, Conservation, Repair and Compatibility, Lisbon, LNEC"
6011,"1st International Workshop on Advanced Interconnect Solutions and Technologies for Emerging Computing Systems (AISTECS)@ HiPEAC"
4841,"1st International Workshop on Structural Health Monitoring for Railway System"
6971,"2005 Salt Lake City Annual Meeting"
1523,"2014 Symposium on Naval Hydrodynamics, Hobart, Tasmania, Australia, Nov"
9731,"20th International Forgemasters Meeting, Graz, Austria"
7599,"29th Conference on Agricultural and Forest Meteorology. Lawrence, USA"
4101,"2D Materials"
7768,"2D Materials"
1545,"2nd Conference on Historic Mortars-HMC 2010 and RILEM TC 203-RHM final workshop"
6128,"2nd International Conference WASTES: Solutions, Treatments and Opportunities. CVR, Braga, Portugal"
7003,"2nd International Symposium on NDT in Aerospace, Bremen, 22nd to 24th November"
1366,"2º Congresso Nacional de Argamassas de Construção, APFAC, Lisbon"
4836,"3rd Magnetic Resonance Sounding International Workshop: a reality in applied hydrogeophysics: MRS2006 Proceedings"
4898,"3rd Magnetic Resonance Sounding International Workshop: a reality in applied hydrogeophysics: MRS2006 Proceedings"
6041,"3rd Magnetic Resonance Sounding International Workshop: a reality in applied hydrogeophysics: MRS2006 Proceedings"
1435,"45th scientific meeting of the Italian Statistical Society. Italian Statistical Society"
3087,"4th World Conference on Structural Control and Monitoring"
1659,"5th ECCOMAS Thematic Conference on Computational Methods in Structural Dynamics and Earthquake Engineering (COMPDYN 2015), Crete Island, Greece"
6225,"5th international packaging congress and exhibition"
3952,"6th World Conference on Experimental Heat Transfer, Fluid Mechanics, and Thermodynamics, Matsushima, Japan, 2005"
4823,"8th IEEE International Conference on BioInformatics and BioEngineering, BIBE 2008"
5001,"8th International INQUA Meeting on Paleoseismology, Active Tectonics and Archeoseismology"
7130,"99th Annual Meeting Cordilleran Section, 2003 Abstracts with Programs"
231,"A Position Paper, Computer Vision and Media Technology Lab, Aalborg University, Aalborg, Denmark"
6047,"A report commissioned by The Co-operative and undertaken by researchers at the Tyndall Centre. University of Manchester"
272,"a Vietnamese Hard News Story’, in Thomson, EA and White, PRR (eds), Communicating Conflict: Multilingual Case Studies of the News Media. London: Continuum"
797,"A. López. Autor Recuperado de http://wdb. ugr. es/~ abigail/wp-content/uploads/Tema1_ Apuntes. pdf"
3326,Aaai
9240,"AAAI-2000 Workshop on Leveraging Probability and Uncertainty in Computation"
5779,Aaai/Iaai
1463,"Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg"
3361,"Abstract and Applied Analysis"
4588,"Abstract and Applied Analysis"
4655,"Abstract and Applied Analysis"
5675,"Abstract and Applied Analysis"
6333,"Abstract and Applied Analysis"
8104,"Abstract and Applied Analysis"
9108,"Abstract Book-ESA2018. XVe European Society for Agronomy Congress (ESA), 27.-31.8. 2019, Geneva, Switzerland"
1764,"Academic Emergency Medicine"
2834,"Academic Emergency Medicine"
3424,"Academic Emergency Medicine"
4084,"Academic Emergency Medicine"
4404,"Academic Emergency Medicine"
4575,"Academic Emergency Medicine"
4940,"Academic Emergency Medicine"
5177,"Academic Emergency Medicine"
5736,"Academic Emergency Medicine"
6180,"Academic Emergency Medicine"
6424,"Academic Emergency Medicine"
7144,"Academic Emergency Medicine"
7274,"Academic Emergency Medicine"
7665,"Academic Emergency Medicine"
8408,"Academic Emergency Medicine"
8597,"Academic Emergency Medicine"
8770,"Academic Emergency Medicine"
9228,"Academic Emergency Medicine"
7204,"Academic futures: Inquiries into higher education and pedagogy"
7261,"Academic futures: Inquiries into higher education and pedagogy"
6716,"Academy of Management Journal"
5320,"Academy of Management Perspectives"
7092,"Academy of Management Proceedings"
8439,"Academy of Management Proceedings"
3567,"Academy of management review"
18,"Accident Analysis & Prevention"
37,"Accident Analysis & Prevention"
61,"Accident Analysis & Prevention"
76,"Accounts of chemical research"
6049,"Accounts of chemical research"
9082,"Accounts of chemical research"
2738,"ACM Computing Surveys (CSUR)"
3459,"ACM Sigplan Notices"
1466,"ACM Transactions on Programming Languages and Systems (TOPLAS)"
212,"Acoustical science and technology"
455,"Acoustical science and technology"
745,"Acoustical science and technology"
3632,"Acoustical science and technology"
9941,"Acoustics Research Letters Online"
2969,"ACR North American Advances"
3357,"ACR North American Advances"
3513,"ACR North American Advances"
3668,"ACR North American Advances"
834,"ACS Applied Energy Materials"
1108,"ACS applied materials & interfaces"
1229,"ACS applied materials & interfaces"
1602,"ACS applied materials & interfaces"
3423,"ACS applied materials & interfaces"
4596,"ACS applied materials & interfaces"
4789,"ACS applied materials & interfaces"
4824,"ACS applied materials & interfaces"
5329,"ACS applied materials & interfaces"
5769,"ACS applied materials & interfaces"
5998,"ACS applied materials & interfaces"
6561,"ACS applied materials & interfaces"
7297,"ACS applied materials & interfaces"
7774,"ACS applied materials & interfaces"
7834,"ACS applied materials & interfaces"
8047,"ACS applied materials & interfaces"
8452,"ACS applied materials & interfaces"
8669,"ACS applied materials & interfaces"
8895,"ACS applied materials & interfaces"
3072,"ACS Applied Nano Materials"
5053,"ACS biomaterials science & engineering"
5132,"ACS biomaterials science & engineering"
1658,"Acs Catalysis"
2511,"Acs Catalysis"
4770,"Acs Catalysis"
5762,"Acs Catalysis"
7846,"Acs Catalysis"
8165,"Acs Catalysis"
8223,"Acs Catalysis"
8943,"Acs Catalysis"
9529,"Acs Catalysis"
1728,"ACS chemical biology"
8036,"ACS chemical biology"
621,"ACS chemical neuroscience"
536,"ACS Energy Letters"
895,"ACS Energy Letters"
3519,"ACS infectious diseases"
8557,"ACS Macro Letters"
4275,"ACS Medicinal Chemistry Letters"
2310,"ACS nano"
2705,"ACS nano"
3347,"ACS nano"
4476,"ACS nano"
5620,"ACS nano"
6489,"ACS nano"
6882,"ACS nano"
7077,"ACS nano"
7167,"ACS nano"
7423,"ACS nano"
8318,"ACS nano"
8360,"ACS nano"
8386,"ACS nano"
8564,"ACS nano"
9873,"ACS nano"
9906,"ACS nano"
10000,"ACS nano"
6470,"ACS Sustainable Chemistry & Engineering"
8190,"ACS synthetic biology"
8851,"ACS synthetic biology"
499,"Acta applicandae mathematicae"
9953,"Acta Bio Medica Atenei Parmensis"
9164,"Acta Biologica Szegediensis"
9399,"Acta biomaterialia"
6772,"Acta Botanica Brasilica"
4578,"Acta Crystallographica Section B: Structural Science"
1852,"Acta Crystallographica Section C: Crystal Structure Communications"
3201,"Acta Crystallographica Section D: Biological Crystallography"
3499,"Acta Crystallographica Section D: Biological Crystallography"
9096,"Acta Crystallographica Section D: Biological Crystallography"
2935,"Acta Crystallographica Section F: Structural Biology and Crystallization Communications"
5015,"Acta dermato-venereologica"
1678,"Acta diabetologica"
8473,"Acta haematologica"
147,"Acta Materialia"
877,"Acta Materialia"
5109,"Acta Mechanica Sinica"
1740,"Acta Médica Colombiana"
1975,"Acta Médica Colombiana"
5433,"Acta Médica Portuguesa"
5686,"Acta Médica Portuguesa"
9570,"ACTA METALLURGICA SINICA-CHINESE EDITION-"
8576,"Acta Mycologica"
9664,"Acta neurochirurgica"
5352,"Acta neurologica scandinavica"
6614,"Acta neurologica scandinavica"
8640,"Acta neurologica scandinavica"
9675,"Acta neurologica scandinavica"
382,"Acta obstetricia et gynecologica Scandinavica"
9249,"Acta ophthalmologica"
5646,"Acta ortopedica brasileira"
6132,"Acta ortopedica brasileira"
8158,"Acta ortopedica brasileira"
4976,"Acta Psychiatrica Scandinavica"
1141,"Acta psychologica"
35,"Acta tropica"
570,"Acta tropica"
