id,name
2650,"[VertigO] La revue électronique en sciences de l’environnement"
3461,"[全国大会] 平成 16 年電気学会全国大会論文集"
1105,"13th Danish Conference on Pattern Recognition and Image Analysis"
1692,"13th World Congress in Mechanism and Machine Science"
1479,"14th International Heat Transfer Conference"
2100,"16th World Conference on Earthquake Engineering"
973,"16th World Conference on Earthquake Engineering, Santiago, Chile"
2414,"17th World Conference on Nondestructive Testing, Shanghai, China, Oct"
2493,"19th Annual Conference of the European Association of Environmental and Resource Economists"
690,"1st Historical Mortars Conference HMC08-Characterization, Diagnosis, Conservation, Repair and Compatibility, Lisbon, LNEC"
2444,"1st International Workshop on Advanced Interconnect Solutions and Technologies for Emerging Computing Systems (AISTECS)@ HiPEAC"
2076,"1st International Workshop on Structural Health Monitoring for Railway System"
2725,"2005 Salt Lake City Annual Meeting"
784,"2014 Symposium on Naval Hydrodynamics, Hobart, Tasmania, Australia, Nov"
3512,"20th International Forgemasters Meeting, Graz, Austria"
2910,"29th Conference on Agricultural and Forest Meteorology. Lawrence, USA"
1807,"2D Materials"
793,"2nd Conference on Historic Mortars-HMC 2010 and RILEM TC 203-RHM final workshop"
2480,"2nd International Conference WASTES: Solutions, Treatments and Opportunities. CVR, Braga, Portugal"
2737,"2nd International Symposium on NDT in Aerospace, Bremen, 22nd to 24th November"
720,"2º Congresso Nacional de Argamassas de Construção, APFAC, Lisbon"
2074,"3rd Magnetic Resonance Sounding International Workshop: a reality in applied hydrogeophysics: MRS2006 Proceedings"
750,"45th scientific meeting of the Italian Statistical Society. Italian Statistical Society"
1414,"4th World Conference on Structural Control and Monitoring"
845,"5th ECCOMAS Thematic Conference on Computational Methods in Structural Dynamics and Earthquake Engineering (COMPDYN 2015), Crete Island, Greece"
2516,"5th international packaging congress and exhibition"
1751,"6th World Conference on Experimental Heat Transfer, Fluid Mechanics, and Thermodynamics, Matsushima, Japan, 2005"
2068,"8th IEEE International Conference on BioInformatics and BioEngineering, BIBE 2008"
2125,"8th International INQUA Meeting on Paleoseismology, Active Tectonics and Archeoseismology"
2775,"99th Annual Meeting Cordilleran Section, 2003 Abstracts with Programs"
158,"A Position Paper, Computer Vision and Media Technology Lab, Aalborg University, Aalborg, Denmark"
2456,"A report commissioned by The Co-operative and undertaken by researchers at the Tyndall Centre. University of Manchester"
183,"a Vietnamese Hard News Story’, in Thomson, EA and White, PRR (eds), Communicating Conflict: Multilingual Case Studies of the News Media. London: Continuum"
468,"A. López. Autor Recuperado de http://wdb. ugr. es/~ abigail/wp-content/uploads/Tema1_ Apuntes. pdf"
1508,Aaai
3378,"AAAI-2000 Workshop on Leveraging Probability and Uncertainty in Computation"
2371,Aaai/Iaai
759,"Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg"
1518,"Abstract and Applied Analysis"
3338,"Abstract Book-ESA2018. XVe European Society for Agronomy Congress (ESA), 27.-31.8. 2019, Geneva, Switzerland"
890,"Academic Emergency Medicine"
2797,"Academic futures: Inquiries into higher education and pedagogy"
2673,"Academy of Management Journal"
2223,"Academy of Management Perspectives"
2758,"Academy of Management Proceedings"
1598,"Academy of management review"
15,"Accident Analysis & Prevention"
52,"Accounts of chemical research"
1274,"ACM Computing Surveys (CSUR)"
1558,"ACM Sigplan Notices"
760,"ACM Transactions on Programming Languages and Systems (TOPLAS)"
144,"Acoustical science and technology"
3562,"Acoustics Research Letters Online"
1373,"ACR North American Advances"
484,"ACS Applied Energy Materials"
611,"ACS applied materials & interfaces"
1405,"ACS Applied Nano Materials"
2142,"ACS biomaterials science & engineering"
844,"Acs Catalysis"
873,"ACS chemical biology"
382,"ACS chemical neuroscience"
341,"ACS Energy Letters"
1576,"ACS infectious diseases"
3186,"ACS Macro Letters"
1873,"ACS Medicinal Chemistry Letters"
1103,"ACS nano"
2596,"ACS Sustainable Chemistry & Engineering"
3081,"ACS synthetic biology"
321,"Acta applicandae mathematicae"
3568,"Acta Bio Medica Atenei Parmensis"
3356,"Acta Biologica Szegediensis"
3425,"Acta biomaterialia"
2681,"Acta Botanica Brasilica"
1979,"Acta Crystallographica Section B: Structural Science"
925,"Acta Crystallographica Section C: Crystal Structure Communications"
1457,"Acta Crystallographica Section D: Biological Crystallography"
1361,"Acta Crystallographica Section F: Structural Biology and Crystallization Communications"
2131,"Acta dermato-venereologica"
854,"Acta diabetologica"
3161,"Acta haematologica"
103,"Acta Materialia"
2163,"Acta Mechanica Sinica"
878,"Acta Médica Colombiana"
2258,"Acta Médica Portuguesa"
3464,"ACTA METALLURGICA SINICA-CHINESE EDITION-"
3190,"Acta Mycologica"
3494,"Acta neurochirurgica"
2236,"Acta neurologica scandinavica"
253,"Acta obstetricia et gynecologica Scandinavica"
3380,"Acta ophthalmologica"
2323,"Acta ortopedica brasileira"
2114,"Acta Psychiatrica Scandinavica"
624,"Acta psychologica"
24,"Acta tropica"
1118,"Actas del III Congreso Internacional Latina de Comunicación Social. La Laguna, Tenerife (España): Universidad de La Laguna. CD-Rom"
2225,"ACTAS INAGEQ"
1663,"Actes des 10e Journées de l’hydrodynamique"
1070,"Actes des 9èmes Journées de l’Hydrodynamique"
1972,"ADAPTtoCLIMATE Conference"
504,Addiction
2481,"Addiction biology"
919,"Addictive behaviors"
2628,"Administration and Policy in Mental Health and Mental Health Services Research"
1193,"Administrative science quarterly"
597,"Advanced Electronic Materials"
6,"Advanced Energy Materials"
264,"Advanced Functional Materials"
225,"Advanced Materials"
2025,"Advanced Materials for Optics and Electronics"
2907,"Advanced Materials Technologies"
3511,"Advanced Optical Materials"
2713,"Advances in Animal Biosciences"
579,"Advances in Applied Ceramics"
463,"Advances in colloid and interface science"
3210,"Advances in Competitiveness Research"
1400,"Advances in Complex Systems"
1664,"Advances in Consumer Research"
