"id";"name";"affiliation";"citedby";"pub_title";"pub_year";"citations";"pub_author";"eprint"
1;"Camila Lorenz";"Post-doc at School of Public Health - University of Sao Paulo";146;"Morphometrical diagnosis of the malaria vectors Anopheles cruzii, An. homunculus and An. bellator";"2012";37;"Camila Lorenz and Tatiani Cristina Marques and Maria Anice Mureb Sallum and Lincoln Suesdek";""
2;"Xiaoyi Ma";"University of Pennsylvania";542;"Champollion: A Robust Parallel Text Sentence Aligner.";"2006";150;"Xiaoyi Ma";""
3;"Sylvie Aubry";"Research Staff, Lawrence Livermore National Laboratory";1028;"Towards more accurate molecular dynamics calculation of thermal conductivity: Case study of GaN bulk crystals";"2009";106;"XW Zhou and S Aubry and RE Jones and A Greenstein and PK Schelling";""
4;"Sandra Saavedra";"University of Hartford";641;"Refinement, Reliability, and Validity of the Segmental Assessment of Trunk Control";"1970";99;"Butler PB and Saavedra S and Sofranc M and Jarvis S and Woollacott M.";""
5;"László Oláh";"Debreceni Egyetem, Neurológiai Tanszék";2661;"Effect of clopidogrel added to aspirin in patients with atrial fibrillation";"2009";1343;"Active Investigators";"https://www.nejm.org/doi/full/10.1056/nejmoa0901301"
6;"Jennifer Steeves";"York MRI Facility, Centre for Vision Research, York University";1011;"The fusiform face area is not sufficient for face recognition: evidence from a patient with dense prosopagnosia and no occipital face area";"2006";211;"Jennifer KE Steeves and Jody C Culham and Bradley C Duchaine and Cristiana Cavina Pratesi and Kenneth F Valyear and Igor Schindler and G Keith Humphrey and A David Milner and Melvyn A Goodale";""
7;"Michele De Bastiani";"Istituto Italiano di Tecnologia";2566;"Stability of metal halide perovskite solar cells";"2015";584;"Tomas Leijtens and Giles E Eperon and Nakita K Noel and Severin N Habisreutinger and Annamaria Petrozza and Henry J Snaith";""
8;"Danon Clemes Cardoso";"Professor Adjunto Universidade Federal de Ouro Preto";294;"Cytogenetic and molecular analyses reveal a divergence between Acromyrmex striatus (Roger, 1863) and other congeneric species: taxonomic implications";"2013";32;"Maykon Passos Cristiano and Danon Clemes Cardoso and Tânia Maria Fernandes-Salomão";"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0059784"
9;"Nicolas Le Poul";"CNRS Researcher, UMR 6521, University of Brest, France";720;"Monocopper center embedded in a biomimetic cavity: From supramolecular control of copper coordination to redox regulation";"2007";70;"Nicolas Le Poul and Morgan Campion and Bénédicte Douziech and Yannick Rondelez and Loic Le Clainche and Olivia Reinaud and Yves Le Mest";""
10;"Annelyn Torres-Reveron";"University of Texas at Rio Grande Valley-School of Medicine";600;"Methylphenidate administration to juvenile rats alters brain areas involved in cognition, motivated behaviors, appetite, and stress";"2007";107;"Jason D Gray and Michael Punsoni and Nora E Tabori and Jay T Melton and Victoria Fanslow and Mary J Ward and Bojana Zupan and David Menzer and Jackson Rice and Carrie T Drake and Russell D Romeo and Wayne G Brake and Annelyn Torres-Reveron and Teresa A Milner";"http://www.jneurosci.org/content/jneuro/27/27/7196.full.pdf"
11;"Sylvie Aubry";"Research Staff, Lawrence Livermore National Laboratory";1028;"A constrained sequential-lamination algorithm for the simulation of sub-grid microstructure in martensitic materials";"2003";88;"Sylvie Aubry and Matt Fago and Michael Ortiz";""
12;"Amir Hosein Faghihi Kashani";"iran university of medical sciences";116;"Knowledge, attitude, and practice of Iranian surgeons about blood-borne diseases";"2009";55;"Mehrdad Moghimi and Seyed Ali Marashi and Ali Kabir and Hamid Reza Taghipour and Amir Hossein Faghihi-Kashani and Iraj Ghoddoosi and Seyed Moayed Alavian";"http://www.academia.edu/download/46958962/Knowledge_Attitude_and_Practice_of_Irani20160702-14388-karqr8.pdf"
13;"thaddaus hellwig";"Unknown affiliation";278;"Progress in computational toxicology";"2014";89;"Sean Ekins";""
14;"Xiaoyi Ma";"University of Pennsylvania";542;"Bits: A method for bilingual text search over the web";"1999";135;"Xiaoyi Ma and Mark Liberman";""
15;"Camila Lorenz";"Post-doc at School of Public Health - University of Sao Paulo";146;"Geometric morphometrics in mosquitoes: What has been measured?";"2017";19;"Camila Lorenz and Fabio Almeida and Fernanda Almeida-Lopes and Caroline Louise and Stella N Pereira and Vivian Petersen and Paloma O Vidal and Flávia Virginio and Lincoln Suesdek";""
16;"Sandra Saavedra";"University of Hartford";641;"Head stability during quiet sitting in children with cerebral palsy: effect of vision and trunk support";"2010";77;"Sandra Saavedra and Marjorie Woollacott and Paul Van Donkelaar";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2821460/"
17;"Peter Johansen";"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University";1028;"Whole blood coagulation thrombelastographic profiles employing minimal tissue factor activation";"2003";329;"Benny Sørensen and Peter Johansen and K Christiansen and M Woelke and Jørgen Ingerslev";"https://onlinelibrary.wiley.com/doi/full/10.1046/j.1538-7836.2003.00075.x"
18;"Antonio D'Ambrosio";"Associate Professor, Department of Economics and Statistics University of Naples Federico II";572;"Analysis of powered two-wheeler crashes in Italy by classification trees and rules discovery";"2012";97;"Alfonso Montella and Massimo Aria and Antonio D’Ambrosio and Filomena Mauriello";""
19;"Jennifer E Johnson";"Michigan State University";2886;"Cohesion in group psychotherapy.";"1970";338;"Gary M Burlingame and Addie Fuhriman and Jennifer E Johnson";"https://www.researchgate.net/profile/Gary_Burlingame/publication/232508813_Cohesion_in_group_psychotherapy/links/00463516345d12fc95000000"
20;"László Oláh";"Debreceni Egyetem, Neurológiai Tanszék";2661;"Ischemic injury in experimental stroke depends on angiotensin II";"2002";125;"Thomas Walther and Laszlo Olah and Christoph Harms and Bjoern Maul and Michael Bader and HEIDE HÖRTNAGL and HEINZ-PETER SCHULTHEISS and GÜNTER MIES";"https://pdfs.semanticscholar.org/38c3/5d46eaba54635d57908a91cf820323caf2e6.pdf"
21;"Michele De Bastiani";"Istituto Italiano di Tecnologia";2566;"Tuning the light emission properties by band gap engineering in hybrid lead halide perovskite";"2014";356;"Valerio D’Innocenzo and Ajay Ram Srimath Kandada and Michele De Bastiani and Marina Gandini and Annamaria Petrozza";""
22;"Krasimir Tonchev";"Technical University of Sofia";97;"Challenges in designing and implementation of an effective Ambient Assisted Living system";"2015";16;"Pavlina Koleva and Krasimir Tonchev and Georgi Balabanov and Agata Manolova and Vladimir Poulkov";"https://www.researchgate.net/profile/Agata_Manolova/publication/308853527_Challenges_in_designing_and_implementation_of_an_effective_Ambient_Assisted_Living_system/links/5a200c13aca272088b23f746/Challenges-in-designing-and-implementation-of-an-effective-Ambient-Assisted-Living-system.pdf"
23;"Annelyn Torres-Reveron";"University of Texas at Rio Grande Valley-School of Medicine";600;"Repeated administration of methylphenidate in young, adolescent, and mature rats affects the response to cocaine later in adulthood";"2005";56;"Annelyn Torres-Reverón and Diana L Dow-Edwards";""
